Card ID,Name,Reverse Side,Game,Card Type,Cycle,Card Size,Found In,Story Card,Flavor A,Summary A,Rules A,Flavor B,Summary B,Rules B,FAQ,Errata
AD0120,The Absent Rule,,Odyssey,Story,Cycle I,Half-Page,,1,"As the Argo leaves the Knossos port, you look to the Horned City one last time. Not many have come to see you off, but a glint from the palace confirms your suspicions: spying eyes are set upon you.\nThe Cretans delivered fuel and supplies as promised. Enough to subsist, but only jusy. Is it all they could spare, or a short leash? Either way, you should stick to the coast.\nWithout much to go on, you fall back on the basics: scout the island, question the locals",Collect Progress,"If you skipped the Tutorial, create the Cycle I exploration deck: find Cycle I Exploration cards 1-9, 13, 19, 23, and 28-32, and shuffle them. Take the Cycle I Map tile [027|A027] and place it on the table. Place the Argo on that tile. Mark day 0 on the Timeline. Proceed to the first step of the Campaign Round.\nTo progress through the story you must gather @Progress. Each time you gain @Progress, place a @Progress token either on the current Story card or on the Inward Odyssey card.\nIf the [Minoan Guide|AC0072] is with you, immediately place 1 @Progress token on this card. When there are 6 or more @Progress tokens on this card, flip the card to side 1B","Minos is a hard man to find. The scraps of information you do manage to uncover inevitably lead to a dead end: a missing fisherman, a burned down temple, a murdered philosopher. It doesn't help that the Minoans are not as forthcoming as you would like. It seems the king held the island in too tight a grip, and there are many who would prefer him to remain missing.\nA lesser crew would give up on this fruitless search. But not you. Even the absence of clues is in itself a clue. Someone has been covering their tracks.\nThere's talk of foreigners supposedly looking for the same prize you're after. Not far from your current position, atop a mount on an artificial island, stands an unfinished Cretan wonder known to some as the City of the Bull. Construction halted when the Great Mourning began--yet now there are rumors of foreign ships coming and going under the cover of night.\nIt might be prudent to pay it a visit",Reach the City of the Bull,"Place the City of the Bull marker on the closest unoccupied @City symbol.\nIf there are no unoccupied @City symbols on the Map, place the marker on thisc ard instead. Then, when you reveal a Map tile with a @City symbol, immediately place the City of the Bull marker on that @City symbol.\nYou cannot use *Negotation* abilities on a @City covered by the City of the Bull marker.\n*Finding the City:* If the _Argo_ is on the Mpa tile with the City of the Bull marker, during the Story Step, see 0002",,
AD0121,A Fateful Randezvous,,Odyssey,Story,Cycle I,Half-Page,,2,"It seems King Minos may have found himself some new friends in this ""Symmachy"" you've been hearing about. But to choose foreign power over his own daughters? Strange and ominous. Eitehr something is rotten at the core of the Minoan Dynasty... or Minos was taken prisoner and the Symmachy are using old animosities to stir the already boiling pot that is Crete.\nEither way, this ""Symmachy"" is involved and your mission remains the same. You concentrate your efforts on finding the foreign ship, the Marathonian",Collect Progress and follow the clues,"When this card is revealed, perform a Divine Surge.\nTake the four Story 2A Clue cards and shuffle the,. When you place your 2nd @Progress token on this card, draw one of the four 2A Clue cards and return the rest to the box. You need to find the Map tile shown on the card. Correctly match the clue from the card to the clue on the Map tile to find what to do next!\nYou can contineu placing @Progress tokens on this card (up to 9). They may come in handy later. Alternatively, you may wish to learn more about the _Argo_ through the Inward Odyssey...","The Symmachy flagship has fled upriver. You're not sure what their plan is or how far the Argo can sail in shallow waters, but you have little choise: Minos is on that ship. Willingly or not, he will come with you, and you will be done with this cursed island once and for all.\nYou give pursuit. Even a few miles inland, the landscape starts to change, become more angular, more... artificial. Your scouts reported as much, but seeing this with your own eyes, hills slowly turning into stepped terraces like the Egyptain pyramids, or peach and persimmon trees bearing cube-shaped fruit, is something else.\nCrete is being remade and seemingly nothing can stop it.\nYou must find Minos",Catch up to the Flagship,"Find the ten Story 2B Clue cards, set aside the [Symmachy Flagship|AC0066] card and shuffle the rest. Then randomly remove a number of these Clue cards equal to the number of @Progress tokens you had on Story 2A and return them to the box (without looking). Finally, shuffle the _Symmachy Flagship_ card with the remaining Clue cards to create the Pursuit deck.\n*Looking for the Flagship:* If the _Argo_ is on a *river* (a Map tile with the @River symbol in the bottom right corner), during the Story Step, draw 1 card from the Pursuit deck and resolve it, then remove it form the game (return it to the box)",,
AD0122,A Phantom Thread,,Odyssey,Story,Cycle I,Half-Page,,3,"Your meeting with the Symmachy has left you with more questions than answers. You have no reason to believe anything Militiades said--but you could say the same about the about the Minoan Dynasty. The only difference is, Minos's daughters hold the keys to the Daedalus Vault, wherein you hope to find parts to fix the Argo. Or so they claim.\nFrom what you've learned, Minos, if he is still alive, is heading for the grave of Ariadne at the Sepulcher Acropolis. The Acropolis is hidden, but Daedalus, its builder, left clues to its location at several sites across Crete.\n Thankfully, you've got a map",Locate the Sepulcher Acropolis,"When this card is revealed, perform a Divine Surge.\nTake the five Story 3A Clue cards and shuffle them to create the Temple deck.\nIf the _Argo_ is on a Map tile with the Minotaur Temple symbol, during the Story Step, you may search it by drawing and resolving a card from the Temple deck. If the card shows any coordinates, these coordinates are forever tied to the Map tile they were drawn on. You can search each Minotaur Temple only once. Note searched Temples in the Map section of the Argo Sheet.\nYou can collect @Progress to quicken your search. Resolve the effects below when you place the designeated number of @Progress tokens on this card.\n2 @Progress: Reveal the top card from the Temple deck and discard it. This is not considered drawing a card.\n5 @Progress: Reveal the top card from the Temple deck and discard it. This is not considered drawing a card.\n9 @Progress: Draw the top card from the Temple deck and resolve it.\nWhen you find the full set of coordinates of the Sepulcher Acropolis, turn this card to side 3B","You've traveled Crete far and wide, uncovering cryptic clues left by the Great Inventor, Daedalus. Many a time you've asked yourselves: why hide a necropolis? Why leave clues leading to it? For whom?\nMaybe Minos will be able to provide some answers.... once you find him. If he's alive. As you put together the fragmented information from the many Minotaur Temples visited, you pinpoint the location of the Sepulcher Acropolis.\nYou set your course",Reach the Sepulcher Acropolis,"Place the Sepulcher Acropolis marker on the Map tile shown by the coordinates. If it is unexplored, place the marker on this card instead. Then, when you reveal the Map tile designated by the coordinates, immediately place the Sepulcher Acropolis marker on this tile.\n*Find the Sepulcher Acropolis:* If the _Argo_ is on the same Map tile as the Sepulcher Acropolis marker, during the Story Step, see 0075",,
AD0123,Unappealable Egress,,Odyssey,Story,Cycle I,Half-Page,,4,"There are many things that you still don't understand, but the hour grows late, and Crete's twilight is at hand. Soon there will be no way of stopping the reality-bending Truth. Minos is gone and with him, the true line of Minoan rulers seemingly ends. Your contract with the Minoan Dynasty cannot be fulfilled.\nIronically, the Sepulcher Acropolis housed the Daedalus Vault, the very place you've risked your neck for. With the parts found within, Alkabiades mends the Argo. You can finally leave this accursed island behind.\nYet you remain. For during your journey you've learned that mere survival is not enough. This world desperately needs hope heroes--and you will provide both. This is your purpose.\nThe Last Academy is creating a machina that will amplify the ontological field surrounding the grave of Ariadne and make the Temenos vulnerable. They call it Ariadne's Anchor.\nYou rush to Knossos to have a word with the self-proclaimed mouth of the Labyrinth, the Punished, now a prisoner of the Minoan Dynasty, to lure the creature out",Collect Progress and reach Knossos,"When this card is revealed, perform a Divine Surge.\nIf the Minoan Guide is with you, see 0089.\nIf the Old Spinner is with you, immediately place 1 @Progress token on this card.\n*Dog Days Are Over:* Permanently remove the [Dog Days|AB0075] Exploration card from the Exploration deck (return it to the box).\nYou need to create the Ariadne's Anchor and rush back to Knossos.\n*Reach Knossos:* If the Argo is on the Knossos Map tile (027) and there are 5 or more @Progress tokens on this card, the Anchor is complete. During the Story Step, see 0104 (*Warning: Point of No Return*).\n*Upgrade the Anchor:* When there are 12 or more @Progress tokens on this card, flip to side 4B","Ariande's Anchor is complete, with time to spare. The scholars of the Last Academy can perfect the design.The ontological field seems to have more properties than just anchoring an object to reality: some of the philosophers propose it may be used to conjure up a ""theatre-like"" reality environment, a waking dream to explore the endless possibilities of life. But that is for the future.\nOne day, the scholars find a giant xiphos lying on the floor of the Anchor's chamber, with no idea how it got there",Reach Knossos,"Gain the [Theseus Razor|AJ0268] @Gear card (Secret deck 2, Card 14) and the [Temenos Sighting] Technology card (unless you already have it). Then, immediately go on an adventure from the Dreams Laid Bare hub (if you finished this hub already, choose another hub to go on an adventure from!).\nWith the Ariadne's Anchor upgraded and operational, it is time to head to Knossos.\n*Reach Knossos:* If the Argo is on the Knossos Map tile (027) and there are 5 or more @Progress tokens on this card, the Anchor is complete. During the Story Step, see 0104 (*Warning: Point of No Return*)",,
AD0124,Inward Odyssey: Truth Of The Labyrinth,,Odyssey,Story,Cycle I,Half-Page,,IO,"You know precious little about the grand vessel you call home. Who built it? For what purpose? How did you come to be onboard?\nThere are vast spaces below deck, more than should be possible, even taking into account the massive size of the ship. Each day brings a new discovery, a new secret to be unraveled. Your Inward Odyssey has just begun",,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.\nWhen you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:\n1: Endless Decks\n2: Phos Dance\n23: Glitch in the Engine\n4: A Distant Thunder\n5: Mark of the Maker\n6: Of Dreams and Memories\n7: Blood of the Mother\n8: See the Forest\n9: Days of Meaninglessness\n10: Memory of a Distant Shore\nAfter you resolve the last adventure from this list, flip this card",Your Inward Odyssey continues!,,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.\nWhen you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:\n11: Garden of Solitude\n12: The Argonites\n13: Children of the Earth\n14: Remembrance\n15: A Spy Among Us\n16: Fire in the Depths\n17: United\n18: The Final Deterrent\n19: Black Blood Cryptex\n20: Echoes of Long-Lost Battles",,
BD0631,A Nietzschean Welcome,Gatecrashing,Odyssey,Story,Cycle II,Half-Page,,1,"You have arrived in Lakonia, looking for answers about your origins. Instead, you've found death at the hands of Sparta's cruel, merciless leader, the Nietzschean.\nThe Nietzschean has issued you a challenge: reach the Temple of Man in 80 days and defeat him. Each day you linger, innocents will die, sacrificed to the new world order. You are the Argonauts. You will not let this stand.\nTo reach the Temple of Man, you need to navigate the empire's many rivers and canals, the Great River Works, and cross the sluice gates of the First Cataract.\nAnd for that, you need an ignition key and a defector",Collect Progress,"Create the Cycle II Exploration deck: find Cycle II Exploration cards 1-9, 13, 19, 23, 31, and 32 and shuffle them. Take the Cycle II Map tile [078|B078] and place it on the table. Place the Argo on that tile. Gain the [First Cataract Fortification Line|BC1176] Clue card (Story 1A). Mark day 0 on the Timeline. Proceed to the first step of the Campaign Round.\nWhen there are 7 or more @Progress tokens on this card, flip the card to side 1B","The war rages on, and casualties mount. Even with enemies without and within, the Nietzschean empire is on the offensive. Each day brings new signs of misery: burned vullages and caravans of refugees.\nYou push forward.\nArmed with an ignition key, you set your eyes on the First Cataract. There are four Sluice Gate Fortresses barring the way up north. The key you've recovered will grant you access to one of them. Luckily, you've got a map.\nNow, to find a spy who will open it from within..",Find the correct Sluice Gate deck,"Take the four Story 1B Clue cards and shuffle the, to create the [Sluice Gate deck]. Draw the top card and return the rest to the box. Reach the tile indicated by the card (it will include a waterway with the First Cataract Sluice Gate movement symbol). When you enter the correct tile and have at least 1 @Defector, correctly match the clue card to the clue on the tile to begin your assault!",,
BD0632,To Win The War,Black Nadir,Odyssey,Story,Cycle II,Half-Page,,2,"Your success at the Sluice Gate Fortress has emboldened your allies and disparate rebel groups across Lakonia. As the Argo cuts into Nietzschean territory beyond the First Cataract, and a whole nation rises in open revellion, the front lines are redrawn and the Symmachy gains initiative.\nThey deem the time has come to end the war with a quick, decisive victory...\nThe Nietzschean is said to travel between the outlying fortresses, inspecting the troops, which leaves you an opening. If you're able to pinpoint his location or learn of his itinerary, you'll be able to trap him inside a fortress and force him to battle on your terms.\nUntil that time, you need to build up Resistance in the region. It'll take a concerted effort from you and your allies to bring the tyrant down",Find the Nietzschean's location and muster the rebel forces,"When this card is revealed, perform a Divine Surge.\nFrom this point onward, you can freely traverse @Lock waterways with the First Cataract Sluice Gate Fortress @FirstCataract symbol. Note this on your Argo Sheet.\n Gain the [Fortress Map|BC1178] Clue card (Story 2AA). Spartan Stronghold symbols (@SpartanStronghold) denote possible locations of the Nietzschean.\nTake the six 2A Clue cards and shuffle them. This is the [Fortress Deck]. Whenever you win a Battle, draw 1 card from the Fortress deck and reveal it. Until the next Battle, the Nietzschean is at the last revealed location. This will become relevant when you progress to side 2B. When you lose a Battle, shuffle all revealed Fortress cards back into the deck.\n@Progress tokens placed on this card represent the strength of the Resistance in the region. When there are 6 or more @Progress tokens on this card, flip the card to side 2B. Move the @Progress tokens to side 2B","As the giant Argo trudges through the ambrosia-contaminated canals of the Lakonian heartland, your allies gather in the Bridge Tholos to discuss the operation that will bring the Nietzschean down.\nYou've achieved so much in such a short amount of time, you can hardly believe it. And yet you dread facing the Nietzschean's monstrous shadow on the battlefield, as you still feel outclassed... yet this is it. You've located the Nietzschean and his Temple of Man citadel, and you've cut off all possible escape routes. It's time to call on your allies--on everyone who opposes the Spartan tyranny--and make the final push.\nThe bastard will pay for every drop of innocent blood he's spilled",Lay siege to the Fortress and put an end to the Nietzschean,"You do not draw any more Fortress cards: the Nietzschean is waiting at the last revealed location. If no Fortress card is currently revealed, draw one now.\n@Progress tokens placed on this card represent the strength of the Resistance in the region. When there are at least 10 @Progress on this card and you're on the correct tile with the Spartan Stronghold symbol, during the Story Step you may initiate the Siege of Sparta and see:\n10-14 @Progress Ragtag force: 0053.\n15-19 @Progress Sizeable force: 0054.\n20+ @Progress Overwhelming force: 0055",,
BD0633,Argophylae,Bearing Gifts,Odyssey,Story,Cycle II,Half-Page,,3,"You're still reeling from the disaster that was the Battle at the Fortress. The Nietzschean baited you in and closed the trap behind you. He has sacrificed the entire stronghold to deal the revel forces a grave wound--one that they may not recover from.\nAs your allies scatter for safety, all the might of the Nietzschean empire bears down on the Argo. You thought yourselves untouchable in your gargantuan ship. Well, your enemy is right here to prove you wrong. Nothing is untouchable.\nCyclopean-forged chains have been strung from canal walls. Pursuit armadas of hunter-killer triremes snap at your heels. A barrage of harassment falls on you from above and below, from without and within, day and night, without reprieve. You're tired, broken, trapped.\nOut of this gauntlet, you will emerge hardened--or not at all",Escape the Argophylae trap and hide in a Resistance Haven,"When this card is revealed, perform a Divine Surge.\nTake the seven Story 3A Clue cards and shuffle them to create the [Argophylae deck]. At the end of each Timeline Step, draw 1 card from this deck and resolve it.\nPlace the Blockade token on the top space of the Blockade diagram on this card. You cannot move the Argo in the direction denoted by the Blockade token. At the end of each Movement Step, move the token 1 space clockwise.\nEligible Resistance havens are @City named in the 2B Story adventure (if you're not sure which, check the noted paragraph again and follow the instructions there).\nIf the Argophylae deck runs out of cards, shuffle it. If the Argophylae deck runs out of cards for the second time or the Argo is on a Map tile with a friendly Resistance Haven, during the Story Step see 0128","You are the Argonauts, and you have survived the grinder the Nietzschean has put you through. As you lick your wounds in the relative safety of a Resistance haven, you are able to process how the bastard did it: as the Nietzschean moves, so does his Temple of Man. The Abyss wills it.\nIf you want to have a chance at defeating him, you need to negate this advantage.\nA dangerous plan is set in motion. A strike team will infiltrate the heart of the empire, the very Temple of Man, to seed the unlikeliest of things: a piece of the maze of Crete, courtesy of the Temenos carcass in your cargo hold. Then, Ariadne's Anchor will root the fortress in place.\nNow you need to snatch yourselves a few Spartan officials to impersonate",Infiltrate the Temple of Man,"Take the six Blue Clue 3B cards and shuffle the, (for now, put the six Red Clue 3B cards aside). This is the [Identity deck]. Each time you gain a @Progress token, you may draw a card from this deck instead. When you have at least 4 Identity cards, during the Story Step you may see 0143 (however, you may wish to gain more Identity cards before you do that!).",,
BD0634,Stand Together,What Are You?,Odyssey,Story,Cycle II,Half-Page,,4,"As you stand on the Acropolis deck, your gaze is drawn to the heart of the empire. You've anchored the Temple of Man and you've learned of the Nietzschean's weakness. You're still not sure you can win, your forces all but depleted, but if you are to lose, you will do it together.\nPreparations are well underway on a two-pronged attack: the Argo and the Titans will engage the Nietzschean monstrosity and the Spartan army around the capital, while a second, smaller strike team will once again brave the corridors of the Temple of Man, breach the Throne Room, and attack the mortal Nietzschean directly. Hopefully, he can't fight on two fronts at once.\nThey start coming at dawn: ships of all shapes and sizes manned by the Helots, caravans of Cyclopes numbering in the dozens, and the triremes of the grand Symmachy Diaspora Fleet. You recognize some of them as veterans of the Battle of the Fortress.\nBefore you can say anything, a representative of the growing refugee community on the Argo comes to you with a plea: the refugees want to fight too.\n""How many?"" you ask.\n""All of them.""\nYou feel your eyes water.\nThey have all comel They will all stand with you in the end.\nLet's take down the Nietzschean together",Attack the Nietzschean on two fronts. End him,"When this card is revealed, perform a Divine Surge.\nImmediately reveal the Temple of Man tile (018). Immediately place 1 @Progress token on this card for each Refugee you have. Immediately place a number of @Progress tokens on this card equal to the sum of all Faction Diplomacy Bonuses. Halve the noted Resistance Strength from 2B (rounding up) and place that many additional @Progress tokens.\n@Progress placed on this card represents the strength of the Resistance in the region.\nWhen there are at least 10 @Progress tokens on this card and the Argo is on the Temple of Man tile, during the Story Step you may initiate the Siege of the Temple of Man and see 0201.\n(*Warning:* This is a *Point of No Return*, you won't be able to return to the Voyage Phase!)\nNote: The more @Progress you have here, the stronger your allied force will be during the final confrontation!",The time has come and you mustn't blink. Each battle and decision has led you here. The Nietzschean has a habit of asking people what they are... Show him. Break his hold and power,Time and Edge,"Place an Edge marker and a Time marker on the Battle track, on space '0' (unless the Edge marker has already been moved).\nDuring the Battle, move the Edge marker 1 space each time the Nietzschean is dealt a Wound (treat a Double Wound as two Wounds). Move the Time marker at the beginning of every Titan Round. When a marker reaches the indicated space or the event happens (in case of the 12th Wound), trigger the appropriate story paragraph (resolve it immediately):\nTime 1: see 0212.\nTime 2: see 0213.\nEdge 6: see 0214.\nTime 3: see 0217.\nTime 4: see 0220.\nEdge 10: see 0222.\n12th Wound dealt, see 0224.\n*Darkest Hour*\nAt the start of the Battle, if you gathered a Sizeable or Overwhelming Force, choose a space on the Battle track. Once per Battle, if the Time marker is on the chosen space and a Titan is about to attack, you may immediately place a negative @AT token in the Kratos Pool (2 negative @AT tokens instead if you have Overwhelming Force).\n*The Sea of People*\nAt the start of Battle, place a number of Support tokens (mark them with generic tokens) on this card equal to the number of your @Refugees. During this Battle, when a Titan is about to attack, you may discard exactly 1 Support token to immediately place 1 Opening or Break token in the Kratos Pool.\n*Ties that Bind*\nIf Cyclopes: Allied, the first time a Titan is about to die from a normal Attack (i.e. without any additional Attack type), see 0243.\nIf Symmachy: Allied, the first time a Titan is about to die from a Judgement Attack, see 0245.\nIf Helots: Allied, the first time a Titan is about to die from a Zone Attack, see 0244.\n*The Battles commenses!*\nIf you've read all the rules here and in the Storybook, see 0211",,
BD0635,Inward Odyssey: Abysswatchers,,Odyssey,Story,Cycle II,Half-Page,,IO,"As you sail through Lakonia, your knowledge of the city-ship grows. Disturbing secrets and shocking revelations are brough to light and force you to reevaluate your Odyssey",,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.\nWhen you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:\n21: Land of the Strong and Free\n22: The Price of Difference\n23: Scorned Smith\n24: Chimeric War\n25: The Nymph and the Engine\n26: The Means the End\n27: The Muse Kids\n28: Way of Strength\n29: A Titan's View\n30: The Rule of the Blade\nAfter you resolve the last adventure from this list, flip this card",Your Inward Odyssey continues!,,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.\nWhen you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:\n31: Blood of the Earth\n32: The Fourth\n33: As Above, So Below\n34: Shadow Play\n35:Argo-bred\n36: Forsaken Aeons\n37: Unyielding\n38: Days of Aeons Past\n39: Gen 1\n40: Song of Life",,
